Week,gives
2011-01-02 - 2011-01-08,38
2011-01-09 - 2011-01-15,43
2011-01-16 - 2011-01-22,40
2011-01-23 - 2011-01-29,48
2011-01-30 - 2011-02-05,38
2011-02-06 - 2011-02-12,44
2011-02-13 - 2011-02-19,61
2011-02-20 - 2011-02-26,48
2011-02-27 - 2011-03-05,43
2011-03-06 - 2011-03-12,47
2011-03-13 - 2011-03-19,41
2011-03-20 - 2011-03-26,57
2011-03-27 - 2011-04-02,49
2011-04-03 - 2011-04-09,55
2011-04-10 - 2011-04-16,42
2011-04-17 - 2011-04-23,52
2011-04-24 - 2011-04-30,54
2011-05-01 - 2011-05-07,57
2011-05-08 - 2011-05-14,61
2011-05-15 - 2011-05-21,54
2011-05-22 - 2011-05-28,48
2011-05-29 - 2011-06-04,49
2011-06-05 - 2011-06-11,49
2011-06-12 - 2011-06-18,50
2011-06-19 - 2011-06-25,42
2011-06-26 - 2011-07-02,50
2011-07-03 - 2011-07-09,45
2011-07-10 - 2011-07-16,65
2011-07-17 - 2011-07-23,58
2011-07-24 - 2011-07-30,60
2011-07-31 - 2011-08-06,60
2011-08-07 - 2011-08-13,46
2011-08-14 - 2011-08-20,43
2011-08-21 - 2011-08-27,42
2011-08-28 - 2011-09-03,40
2011-09-04 - 2011-09-10,45
2011-09-11 - 2011-09-17,42
2011-09-18 - 2011-09-24,36
2011-09-25 - 2011-10-01,43
2011-10-02 - 2011-10-08,37
2011-10-09 - 2011-10-15,44
2011-10-16 - 2011-10-22,47
2011-10-23 - 2011-10-29,37
2011-10-30 - 2011-11-05,47
2011-11-06 - 2011-11-12,45
2011-11-13 - 2011-11-19,44
2011-11-20 - 2011-11-26,47
2011-11-27 - 2011-12-03,47
2011-12-04 - 2011-12-10,43
2011-12-11 - 2011-12-17,44
2011-12-18 - 2011-12-24,37
2011-12-25 - 2011-12-31,52
2012-01-01 - 2012-01-07,46
2012-01-08 - 2012-01-14,38
2012-01-15 - 2012-01-21,60
2012-01-22 - 2012-01-28,48
2012-01-29 - 2012-02-04,48
2012-02-05 - 2012-02-11,47
2012-02-12 - 2012-02-18,54
2012-02-19 - 2012-02-25,54
2012-02-26 - 2012-03-03,40
2012-03-04 - 2012-03-10,51
2012-03-11 - 2012-03-17,46
2012-03-18 - 2012-03-24,49
2012-03-25 - 2012-03-31,43
2012-04-01 - 2012-04-07,57
2012-04-08 - 2012-04-14,53
2012-04-15 - 2012-04-21,47
2012-04-22 - 2012-04-28,46
2012-04-29 - 2012-05-05,51
2012-05-06 - 2012-05-12,45
2012-05-13 - 2012-05-19,43
2012-05-20 - 2012-05-26,51
2012-05-27 - 2012-06-02,41
2012-06-03 - 2012-06-09,56
2012-06-10 - 2012-06-16,63
2012-06-17 - 2012-06-23,64
2012-06-24 - 2012-06-30,45
2012-07-01 - 2012-07-07,55
2012-07-08 - 2012-07-14,42
2012-07-15 - 2012-07-21,54
2012-07-22 - 2012-07-28,55
2012-07-29 - 2012-08-04,48
2012-08-05 - 2012-08-11,54
2012-08-12 - 2012-08-18,48
2012-08-19 - 2012-08-25,44
2012-08-26 - 2012-09-01,54
2012-09-02 - 2012-09-08,51
2012-09-09 - 2012-09-15,53
2012-09-16 - 2012-09-22,51
2012-09-23 - 2012-09-29,52
2012-09-30 - 2012-10-06,50
2012-10-07 - 2012-10-13,48
2012-10-14 - 2012-10-20,52
2012-10-21 - 2012-10-27,44
2012-10-28 - 2012-11-03,53
2012-11-04 - 2012-11-10,41
2012-11-11 - 2012-11-17,50
2012-11-18 - 2012-11-24,50
2012-11-25 - 2012-12-01,40
2012-12-02 - 2012-12-08,57
2012-12-09 - 2012-12-15,43
2012-12-16 - 2012-12-22,42
2012-12-23 - 2012-12-29,48
2012-12-30 - 2013-01-05,46
2013-01-06 - 2013-01-12,45
2013-01-13 - 2013-01-19,50
2013-01-20 - 2013-01-26,40
2013-01-27 - 2013-02-02,54
2013-02-03 - 2013-02-09,50
2013-02-10 - 2013-02-16,61
2013-02-17 - 2013-02-23,61
2013-02-24 - 2013-03-02,51
2013-03-03 - 2013-03-09,44
2013-03-10 - 2013-03-16,45
2013-03-17 - 2013-03-23,51
2013-03-24 - 2013-03-30,56
2013-03-31 - 2013-04-06,58
2013-04-07 - 2013-04-13,56
2013-04-14 - 2013-04-20,46
2013-04-21 - 2013-04-27,60
2013-04-28 - 2013-05-04,48
2013-05-05 - 2013-05-11,60
2013-05-12 - 2013-05-18,55
2013-05-19 - 2013-05-25,65
2013-05-26 - 2013-06-01,47
2013-06-02 - 2013-06-08,60
2013-06-09 - 2013-06-15,54
2013-06-16 - 2013-06-22,61
2013-06-23 - 2013-06-29,66
2013-06-30 - 2013-07-06,69
2013-07-07 - 2013-07-13,49
2013-07-14 - 2013-07-20,54
2013-07-21 - 2013-07-27,55
2013-07-28 - 2013-08-03,71
2013-08-04 - 2013-08-10,64
2013-08-11 - 2013-08-17,49
2013-08-18 - 2013-08-24,66
2013-08-25 - 2013-08-31,62
2013-09-01 - 2013-09-07,54
2013-09-08 - 2013-09-14,49
2013-09-15 - 2013-09-21,56
2013-09-22 - 2013-09-28,58
2013-09-29 - 2013-10-05,62
2013-10-06 - 2013-10-12,56
2013-10-13 - 2013-10-19,60
2013-10-20 - 2013-10-26,58
2013-10-27 - 2013-11-02,58
2013-11-03 - 2013-11-09,53
2013-11-10 - 2013-11-16,54
2013-11-17 - 2013-11-23,51
2013-11-24 - 2013-11-30,46
2013-12-01 - 2013-12-07,61
2013-12-08 - 2013-12-14,49
2013-12-15 - 2013-12-21,57
2013-12-22 - 2013-12-28,59
2013-12-29 - 2014-01-04,59
2014-01-05 - 2014-01-11,51
2014-01-12 - 2014-01-18,59
2014-01-19 - 2014-01-25,59
2014-01-26 - 2014-02-01,50
2014-02-02 - 2014-02-08,58
2014-02-09 - 2014-02-15,54
2014-02-16 - 2014-02-22,53
2014-02-23 - 2014-03-01,70
2014-03-02 - 2014-03-08,63
2014-03-09 - 2014-03-15,49
2014-03-16 - 2014-03-22,62
2014-03-23 - 2014-03-29,57
2014-03-30 - 2014-04-05,48
2014-04-06 - 2014-04-12,52
2014-04-13 - 2014-04-19,52
2014-04-20 - 2014-04-26,56
2014-04-27 - 2014-05-03,70
2014-05-04 - 2014-05-10,58
2014-05-11 - 2014-05-17,68
2014-05-18 - 2014-05-24,59
2014-05-25 - 2014-05-31,45
2014-06-01 - 2014-06-07,51
2014-06-08 - 2014-06-14,57
2014-06-15 - 2014-06-21,75
2014-06-22 - 2014-06-28,69
2014-06-29 - 2014-07-05,70
2014-07-06 - 2014-07-12,100
2014-07-13 - 2014-07-19,70
2014-07-20 - 2014-07-26,75
2014-07-27 - 2014-08-02,58
2014-08-03 - 2014-08-09,61
2014-08-10 - 2014-08-16,55
2014-08-17 - 2014-08-23,73
2014-08-24 - 2014-08-30,69
2014-08-31 - 2014-09-06,49
2014-09-07 - 2014-09-13,50
2014-09-14 - 2014-09-20,58
2014-09-21 - 2014-09-27,62
2014-09-28 - 2014-10-04,55
2014-10-05 - 2014-10-11,52
2014-10-12 - 2014-10-18,61
2014-10-19 - 2014-10-25,59
2014-10-26 - 2014-11-01,70
2014-11-02 - 2014-11-08,63
2014-11-09 - 2014-11-15,57
2014-11-16 - 2014-11-22,53
2014-11-23 - 2014-11-29,58
2014-11-30 - 2014-12-06,59
2014-12-07 - 2014-12-13,53
2014-12-14 - 2014-12-20,58
2014-12-21 - 2014-12-27,64
2014-12-28 - 2015-01-03,61
2015-01-04 - 2015-01-10,54
2015-01-11 - 2015-01-17,65
2015-01-18 - 2015-01-24,68
2015-01-25 - 2015-01-31,58
2015-02-01 - 2015-02-07,52
2015-02-08 - 2015-02-14,59
2015-02-15 - 2015-02-21,65
2015-02-22 - 2015-02-28,59
2015-03-01 - 2015-03-07,68
2015-03-08 - 2015-03-14,63
2015-03-15 - 2015-03-21,62
2015-03-22 - 2015-03-28,43
2015-03-29 - 2015-04-04,65
2015-04-05 - 2015-04-11,61
2015-04-12 - 2015-04-18,52
2015-04-19 - 2015-04-25,69
2015-04-26 - 2015-05-02,59
2015-05-03 - 2015-05-09,64
2015-05-10 - 2015-05-16,57
2015-05-17 - 2015-05-23,55
2015-05-24 - 2015-05-30,61
2015-05-31 - 2015-06-06,58
2015-06-07 - 2015-06-13,75
2015-06-14 - 2015-06-20,54
2015-06-21 - 2015-06-27,62
2015-06-28 - 2015-07-04,51
2015-07-05 - 2015-07-11,58
2015-07-12 - 2015-07-18,67
2015-07-19 - 2015-07-25,55
2015-07-26 - 2015-08-01,65
2015-08-02 - 2015-08-08,67
2015-08-09 - 2015-08-15,70
2015-08-16 - 2015-08-22,60
2015-08-23 - 2015-08-29,72
2015-08-30 - 2015-09-05,53
2015-09-06 - 2015-09-12,56
2015-09-13 - 2015-09-19,58
2015-09-20 - 2015-09-26,51
2015-09-27 - 2015-10-03,53
2015-10-04 - 2015-10-10,60
2015-10-11 - 2015-10-17,69
2015-10-18 - 2015-10-24,58
2015-10-25 - 2015-10-31,59
2015-11-01 - 2015-11-07,48
2015-11-08 - 2015-11-14,57
2015-11-15 - 2015-11-21,57
2015-11-22 - 2015-11-28,62
2015-11-29 - 2015-12-05,51
2015-12-06 - 2015-12-12,57
2015-12-13 - 2015-12-19,57
2015-12-20 - 2015-12-26,53
2015-12-27 - 2016-01-02,52
2016-01-03 - 2016-01-09,60
2016-01-10 - 2016-01-16,50
2016-01-17 - 2016-01-23,60
2016-01-24 - 2016-01-30,52
2016-01-31 - 2016-02-06,52
2016-02-07 - 2016-02-13,49
2016-02-14 - 2016-02-20,58
2016-02-21 - 2016-02-27,56
2016-02-28 - 2016-03-05,0
